STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS,,
TLG,M,65,MON FNF,19140801 0000,19140831 0000,52400,,AF,,
TLG,M,65,MON FNF,19140901 0000,19140930 0000,11600,,AF,,
TLG,M,65,MON FNF,19141001 0000,19141031 0000,5550,,AF,,
TLG,M,65,MON FNF,19141101 0000,19141130 0000,5400,,AF,,
TLG,M,65,MON FNF,19141201 0000,19141231 0000,7500,,AF,,
TLG,M,65,MON FNF,19150101 0000,19150131 0000,56100,,AF,,
TLG,M,65,MON FNF,19150201 0000,19150228 0000,200000,,AF,,
TLG,M,65,MON FNF,19150301 0000,19150331 0000,180000,,AF,,
TLG,M,65,MON FNF,19150401 0000,19150430 0000,303000,,AF,,
TLG,M,65,MON FNF,19150501 0000,19150531 0000,472000,,AF,,
TLG,M,65,MON FNF,19150601 0000,19150630 0000,578000,,AF,,
TLG,M,65,MON FNF,19150701 0000,19150731 0000,208000,,AF,,
TLG,M,65,MON FNF,19150801 0000,19150831 0000,23600,,AF,,
TLG,M,65,MON FNF,19150901 0000,19150930 0000,5730,,AF,,
TLG,M,65,MON FNF,19151001 0000,19151031 0000,4840,,AF,,
TLG,M,65,MON FNF,19151101 0000,19151130 0000,3630,,AF,,
TLG,M,65,MON FNF,19151201 0000,19151231 0000,11100,,AF,,
TLG,M,65,MON FNF,19160101 0000,19160131 0000,221000,,AF,,
TLG,M,65,MON FNF,19160201 0000,19160229 0000,183000,,AF,,
TLG,M,65,MON FNF,19160301 0000,19160331 0000,403000,,AF,,
TLG,M,65,MON FNF,19160401 0000,19160430 0000,431000,,AF,,
TLG,M,65,MON FNF,19160501 0000,19160531 0000,491000,,AF,,
TLG,M,65,MON FNF,19160601 0000,19160630 0000,505000,,AF,,
TLG,M,65,MON FNF,19160701 0000,19160731 0000,196000,,AF,,
TLG,M,65,MON FNF,19160801 0000,19160831 0000,34400,,AF,,
TLG,M,65,MON FNF,19160901 0000,19160930 0000,14200,,AF,,
TLG,M,65,MON FNF,19161001 0000,19161031 0000,71300,,AF,,
TLG,M,65,MON FNF,19161101 0000,19161130 0000,35900,,AF,,
TLG,M,65,MON FNF,19161201 0000,19161231 0000,66400,,AF,,
TLG,M,65,MON FNF,19170101 0000,19170131 0000,53900,,AF,,
TLG,M,65,MON FNF,19170201 0000,19170228 0000,224000,,AF,,
TLG,M,65,MON FNF,19170301 0000,19170331 0000,141000,,AF,,
TLG,M,65,MON FNF,19170401 0000,19170430 0000,281000,,AF,,
TLG,M,65,MON FNF,19170501 0000,19170531 0000,437000,,AF,,
TLG,M,65,MON FNF,19170601 0000,19170630 0000,678000,,AF,,
TLG,M,65,MON FNF,19170701 0000,19170731 0000,199000,,AF,,
TLG,M,65,MON FNF,19170801 0000,19170831 0000,26600,,AF,,
TLG,M,65,MON FNF,19170901 0000,19170930 0000,8930,,AF,,
TLG,M,65,MON FNF,19171001 0000,19171031 0000,4470,,AF,,
TLG,M,65,MON FNF,19171101 0000,19171130 0000,5910,,AF,,
TLG,M,65,MON FNF,19171201 0000,19171231 0000,11100,,AF,,
TLG,M,65,MON FNF,19180101 0000,19180131 0000,12200,,AF,,
TLG,M,65,MON FNF,19180201 0000,19180228 0000,54570,,AF,,
TLG,M,65,MON FNF,19180301 0000,19180331 0000,267020,,AF,,
TLG,M,65,MON FNF,19180401 0000,19180430 0000,280390,,AF,,
TLG,M,65,MON FNF,19180501 0000,19180531 0000,347280,,AF,,
TLG,M,65,MON FNF,19180601 0000,19180630 0000,415320,,AF,,
TLG,M,65,MON FNF,19180701 0000,19180731 0000,42200,,AF,,
TLG,M,65,MON FNF,19180801 0000,19180831 0000,8020,,AF,,
TLG,M,65,MON FNF,19180901 0000,19180930 0000,13110,,AF,,
TLG,M,65,MON FNF,19181001 0000,19181031 0000,52230,,AF,,
TLG,M,65,MON FNF,19181101 0000,19181130 0000,34170,,AF,,
TLG,M,65,MON FNF,19181201 0000,19181231 0000,32710,,AF,,
TLG,M,65,MON FNF,19190101 0000,19190131 0000,20430,,AF,,
TLG,M,65,MON FNF,19190201 0000,19190228 0000,77990,,AF,,
TLG,M,65,MON FNF,19190301 0000,19190331 0000,117890,,AF,,
TLG,M,65,MON FNF,19190401 0000,19190430 0000,268610,,AF,,
TLG,M,65,MON FNF,19190501 0000,19190531 0000,563190,,AF,,
TLG,M,65,MON FNF,19190601 0000,19190630 0000,143950,,AF,,
TLG,M,65,MON FNF,19190701 0000,19190731 0000,24950,,AF,,
TLG,M,65,MON FNF,19190801 0000,19190831 0000,7100,,AF,,
TLG,M,65,MON FNF,19190901 0000,19190930 0000,3960,,AF,,
TLG,M,65,MON FNF,19191001 0000,19191031 0000,5860,,AF,,
TLG,M,65,MON FNF,19191101 0000,19191130 0000,4190,,AF,,
TLG,M,65,MON FNF,19191201 0000,19191231 0000,24730,,AF,,
TLG,M,65,MON FNF,19200101 0000,19200131 0000,24790,,AF,,
TLG,M,65,MON FNF,19200201 0000,19200229 0000,29030,,AF,,
TLG,M,65,MON FNF,19200301 0000,19200331 0000,161640,,AF,,
TLG,M,65,MON FNF,19200401 0000,19200430 0000,231040,,AF,,
TLG,M,65,MON FNF,19200501 0000,19200531 0000,478570,,AF,,
TLG,M,65,MON FNF,19200601 0000,19200630 0000,315070,,AF,,
TLG,M,65,MON FNF,19200701 0000,19200731 0000,48310,,AF,,
TLG,M,65,MON FNF,19200801 0000,19200831 0000,12450,,AF,,
TLG,M,65,MON FNF,19200901 0000,19200930 0000,6630,,AF,,
TLG,M,65,MON FNF,19201001 0000,19201031 0000,41080,,AF,,
TLG,M,65,MON FNF,19201101 0000,19201130 0000,53300,,AF,,
TLG,M,65,MON FNF,19201201 0000,19201231 0000,69550,,AF,,
TLG,M,65,MON FNF,19210101 0000,19210131 0000,196200,,AF,,
TLG,M,65,MON FNF,19210201 0000,19210228 0000,155940,,AF,,
TLG,M,65,MON FNF,19210301 0000,19210331 0000,231770,,AF,,
TLG,M,65,MON FNF,19210401 0000,19210430 0000,254350,,AF,,
TLG,M,65,MON FNF,19210501 0000,19210531 0000,442190,,AF,,
TLG,M,65,MON FNF,19210601 0000,19210630 0000,458320,,AF,,
TLG,M,65,MON FNF,19210701 0000,19210731 0000,95170,,AF,,
TLG,M,65,MON FNF,19210801 0000,19210831 0000,13500,,AF,,
TLG,M,65,MON FNF,19210901 0000,19210930 0000,6560,,AF,,
TLG,M,65,MON FNF,19211001 0000,19211031 0000,5800,,AF,,
TLG,M,65,MON FNF,19211101 0000,19211130 0000,6080,,AF,,
TLG,M,65,MON FNF,19211201 0000,19211231 0000,54600,,AF,,
TLG,M,65,MON FNF,19220101 0000,19220131 0000,71720,,AF,,
TLG,M,65,MON FNF,19220201 0000,19220228 0000,189460,,AF,,
TLG,M,65,MON FNF,19220301 0000,19220331 0000,181280,,AF,,
TLG,M,65,MON FNF,19220401 0000,19220430 0000,260350,,AF,,
TLG,M,65,MON FNF,19220501 0000,19220531 0000,717530,,AF,,
TLG,M,65,MON FNF,19220601 0000,19220630 0000,751930,,AF,,
TLG,M,65,MON FNF,19220701 0000,19220731 0000,194560,,AF,,
TLG,M,65,MON FNF,19220801 0000,19220831 0000,27220,,AF,,
TLG,M,65,MON FNF,19220901 0000,19220930 0000,10390,,AF,,
TLG,M,65,MON FNF,19221001 0000,19221031 0000,10600,,AF,,
TLG,M,65,MON FNF,19221101 0000,19221130 0000,31610,,AF,,
TLG,M,65,MON FNF,19221201 0000,19221231 0000,123930,,AF,,
TLG,M,65,MON FNF,19230101 0000,19230131 0000,113590,,AF,,
TLG,M,65,MON FNF,19230201 0000,19230228 0000,79520,,AF,,
TLG,M,65,MON FNF,19230301 0000,19230331 0000,113110,,AF,,
TLG,M,65,MON FNF,19230401 0000,19230430 0000,265740,,AF,,
TLG,M,65,MON FNF,19230501 0000,19230531 0000,521300,,AF,,
TLG,M,65,MON FNF,19230601 0000,19230630 0000,319130,,AF,,
TLG,M,65,MON FNF,19230701 0000,19230731 0000,157840,,AF,,
TLG,M,65,MON FNF,19230801 0000,19230831 0000,27340,,AF,,
TLG,M,65,MON FNF,19230901 0000,19230930 0000,22270,,AF,,
TLG,M,65,MON FNF,19231001 0000,19231031 0000,28510,,AF,,
TLG,M,65,MON FNF,19231101 0000,19231130 0000,13620,,AF,,
TLG,M,65,MON FNF,19231201 0000,19231231 0000,13760,,AF,,
TLG,M,65,MON FNF,19240101 0000,19240131 0000,25340,,AF,,
TLG,M,65,MON FNF,19240201 0000,19240229 0000,41620,,AF,,
TLG,M,65,MON FNF,19240301 0000,19240331 0000,37860,,AF,,
TLG,M,65,MON FNF,19240401 0000,19240430 0000,138860,,AF,,
TLG,M,65,MON FNF,19240501 0000,19240531 0000,209400,,AF,,
TLG,M,65,MON FNF,19240601 0000,19240630 0000,16850,,AF,,
TLG,M,65,MON FNF,19240701 0000,19240731 0000,16810,,AF,,
TLG,M,65,MON FNF,19240801 0000,19240831 0000,0,,AF,,
TLG,M,65,MON FNF,19240901 0000,19240930 0000,0,,AF,,
TLG,M,65,MON FNF,19241001 0000,19241031 0000,14660,,AF,,
TLG,M,65,MON FNF,19241101 0000,19241130 0000,47910,,AF,,
TLG,M,65,MON FNF,19241201 0000,19241231 0000,51050,,AF,,
TLG,M,65,MON FNF,19250101 0000,19250131 0000,44260,,AF,,
TLG,M,65,MON FNF,19250201 0000,19250228 0000,227090,,AF,,
TLG,M,65,MON FNF,19250301 0000,19250331 0000,165640,,AF,,
TLG,M,65,MON FNF,19250401 0000,19250430 0000,350330,,AF,,
TLG,M,65,MON FNF,19250501 0000,19250531 0000,538440,,AF,,
TLG,M,65,MON FNF,19250601 0000,19250630 0000,352380,,AF,,
TLG,M,65,MON FNF,19250701 0000,19250731 0000,111860,,AF,,
TLG,M,65,MON FNF,19250801 0000,19250831 0000,22650,,AF,,
TLG,M,65,MON FNF,19250901 0000,19250930 0000,5850,,AF,,
